primaryTitle,movieId,T_Const,startYear,averageRating,numVotes,Family,Biography,Musical,Reality-TV,Music,War,Action,Mystery,Sport,Drama,Short,Talk-Show,Game-Show,Fantasy,Documentary,Thriller,Adventure,Comedy,Romance,History,Film-Noir,Adult,Animation,News,Horror,Western,Sci-Fi,Crime
The Nutty Professor,225,0057372,-0.33138763466413224,-0.062548926414673,-0.08365813416151258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
The Pink Panther,227,0057413,-0.33138763466413224,0.010980485350032885,-0.07061066234349317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
The Sword in the Stone,230,0057546,-0.33138763466413224,0.010980485350032885,-0.053316048318130436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Goldfinger,231,0058150,-0.32097096799746555,0.09921577946768001,-0.01827540360332057,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A Hard Day's Night,232,0058182,-0.32097096799746555,0.08450989711473876,-0.07335014940409357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mary Poppins,233,0058331,-0.32097096799746555,0.11392166182062113,-0.02524367015950492,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My Fair Lady,234,0058385,-0.32097096799746555,0.11392166182062113,-0.05422155954176417,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Fistful of Dollars,235,0058461,-0.32097096799746555,0.1286275441735624,-0.008281497728285708,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Doctor Zhivago,236,0059113,-0.3105543013307989,0.1286275441735624,-0.06142127277741553,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
For a Few Dollars More,237,0059578,-0.3105543013307989,0.17274519123238577,0.006444631989735725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Sound of Music,239,0059742,-0.3105543013307989,0.15803930887944465,-0.0024995388630553875,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderball,246,0059800,-0.3105543013307989,-0.018431279355849362,-0.045560863051758264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"The Good, the Bad and the Ugly",247,0060196,-0.30013763466413224,0.26098048535003304,0.1960074961596092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Belle de Jour,248,0061395,-0.28972096799746555,0.09921577946768001,-0.07362252962852416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bonnie and Clyde,249,0061418,-0.28972096799746555,0.09921577946768001,-0.047647326175416206,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cool Hand Luke,252,0061512,-0.28972096799746555,0.15803930887944465,-0.02336723055159472,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Dirty Dozen,253,0061578,-0.28972096799746555,0.09921577946768001,-0.06269786380118644,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Doctor Dolittle,256,0061584,-0.28972096799746555,-0.13607833817937887,-0.0869527106963388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Graduate,257,0061722,-0.28972096799746555,0.14333342652650352,0.013171505397583412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Guess Who's Coming to Dinner,260,0061735,-0.28972096799746555,0.11392166182062113,-0.07332337044944448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
In the Heat of the Night,261,0061811,-0.28972096799746555,0.1286275441735624,-0.06151920724013214,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Jungle Book,262,0061852,-0.28972096799746555,0.08450989711473876,-0.02146975033646025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
